index,Team Name,In-game Name,Open ID
94,ANÉLYN,janeyadiwa,2543926712140914
95,ANÉLYN,ᴍᴀʙᴇʟ★,1461982641456242
96,ANÉLYN,⇀ˉׅʀʏֺ͜ᴢ༙ᴇׅɴ֯ɴ͡★༙˟྇.,4504325275714674
97,ANÉLYN,ʙᴀʙʏᴍɪʟᴋεїз,726010333168754
98,APEX,糖漿,4026531840215374
99,APEX,金枝,2976039546586226
100,APEX,Moli8mv,2899263516509298
101,APEX,Oาหวังมีปิ๊!!,4935332491625586
102,APEX,littlewater_,3069150478140530
103,APPLE SOUR,bwacp,2308018989630578
104,APPLE SOUR,♡‧₊˚‧₊˚,388586025452658
105,APPLE SOUR,ʙᴇʙʙʏʏꜱ,3869988872193138
106,APPLE SOUR,อย่าเข้ามานะคะ!,475256921982066
107,APPLE SOUR,Airair_00,89216335938674
108,Armageddon,Nævis☆,1094793740616818
109,Armageddon,กูกะเหนื่อยยยยยยย,887571970458738
110,Armageddon,มูแพมเพิส,255556124345458
111,Armageddon,♡ᴊᴇʟʟʏғɪsʜ｡ﾟ,1065266108892274
112,Armageddon,۝•ᴳᵒᵈᵇᵒʸ•۝,3111280349217906
113,ARMED MARSHMALLOWS,YUFO.L,636589852263538
114,ARMED MARSHMALLOWS,Lalitphattt,4727354136134770
115,ARMED MARSHMALLOWS,เจสติ๊งต๊อง,288958890312818
116,ARMED MARSHMALLOWS,มันม่วงรสเผือก,4505472568853618
117,ARMED MARSHMALLOWS,MynerMind,117685795095666
118,ASCEND,Palmira_xs,527709008757874
119,ASCEND,จึ๋งปั๋ง_มั้ก_นร้าาาา,828125999203442
120,ASCEND,Suphatchaya.p,3855614287742066
121,ASCEND,แมวมีตัง,3177287889650802
122,ASCEND,05XJUNE,2857049826460786
123,Ascher,ɴa͜͡σмi͜͡ɪɪɪ’ٮ‘,3237808475145330
124,Ascher,Kiwkaxy,667067879720050
125,Ascher,กระทิน้อย.,1313901228786802
126,Ascher,Mintchy.,994989907838066
127,Ascher,♡แฟนพี่พิมพ์♡,309995438802034
128,Ascher,Watanabe_o,743307441538162
129,Astra Nova,เดิร์ฟ,4783113213510770
130,Astra Nova,แคทเน่า,3510291065406578
131,Astra Nova,D-duck.,3545330549458034
132,Astra Nova,Khaipum,2418148729095282
133,Astra Nova,ฝันดีนะจ๊ะ~~,2691069204694130
134,Athora Esport,sashimii,237487935128690
135,Athora Esport,ซินไม่ไหวแล้ววว,1597497315361906
136,Athora Esport,MongKhol,3132012693226610
137,Athora Esport,ชมพูพิ้งป่วนป้อม,1027721585165426
138,Athora Esport,ᴊᴜsᴛf͜͡o༙྇rʏᴏᴜ,4124925380199538
139,Aura of Eternity,Zuzumiko,3393081542116466
140,Aura of Eternity,MⒶⒾⒹⒶ,2315307683349618
141,Aura of Eternity,(｡•̀ᴗ-)ดรีมมี่✧,707958854059122
142,Aura of Eternity,จูดี้คับบ^-^,2226010347209842
143,Aura of Eternity,•chocobo•,101514303702130
144,Aura of Eternity,ʀᴇɪɴᴀ.,233848218780786
145,Auri,†˚ᴍ͜͡α༙྇кz★˚.,203140209247346
146,Auri,Mom’sLeia,285991940326514
147,Auri,Wrenris',3525495585178738
148,Auri,TOTOROO,1583998501586034
149,Auri,seattlegirl,177892311106674
150,Ava,เด่กวงโยเค้ารู้กัน,4534183418594418
151,Ava,คิดถึงนะT~T,4311578887521394
